instrument,timeframe,bar_open_ts_utc,open,high,low,close,volume,source,source_file,imported_utc
XAUUSD,M5,2026-05-16 04:40:00+00:00,4537.76921,4537.96566,4537.69541,4537.86214,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 04:45:00+00:00,4537.76548,4537.95919,4537.72694,4537.82007,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 04:50:00+00:00,4537.75657,4537.95893,4537.69829,4537.73074,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 04:55:00+00:00,4537.75981,4537.93114,4537.70049,4537.8078,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:00:00+00:00,4537.75519,4537.95791,4537.69292,4537.86009,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:05:00+00:00,4537.76098,4537.96333,4537.71137,4537.82366,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:10:00+00:00,4537.75458,4537.9629,4537.70225,4537.72908,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:15:00+00:00,4537.76058,4537.94403,4537.69924,4537.80652,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:20:00+00:00,4537.76491,4537.95581,4537.69769,4537.8636,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:25:00+00:00,4537.76263,4537.96828,4537.71741,4537.83957,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:30:00+00:00,4537.76708,4537.97009,4537.71462,4537.73617,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:35:00+00:00,4537.76881,4537.95581,4537.70313,4537.81162,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:40:00+00:00,4537.76722,4537.95722,4537.69514,4537.87082,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:45:00+00:00,4537.77085,4537.96831,4537.70555,4537.84081,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:50:00+00:00,4537.76089,4537.96367,4537.71648,4537.73127,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 05:55:00+00:00,4537.76469,4537.95701,4537.69745,4537.81237,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:00:00+00:00,4537.76306,4537.94205,4537.69401,4537.86305,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:05:00+00:00,4537.7618,4537.96513,4537.69667,4537.84185,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:10:00+00:00,4537.75479,4537.95201,4537.71967,4537.72696,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:15:00+00:00,4537.75974,4537.94066,4537.69293,4537.80824,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:20:00+00:00,4537.74442,4537.92784,4537.68782,4537.85673,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:25:00+00:00,4537.75644,4537.95866,4537.68264,4537.84073,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:30:00+00:00,4537.7467,4537.94325,4537.72118,4537.72118,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:35:00+00:00,4537.75398,4537.95409,4537.68963,4537.81312,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:40:00+00:00,4537.75259,4537.92449,4537.71097,4537.86035,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:45:00+00:00,4537.7577,4537.97001,4537.70314,4537.86155,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:50:00+00:00,4537.76921,4537.95093,4537.73225,4537.73225,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 06:55:00+00:00,4537.76469,4537.96618,4537.6994,4537.81866,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:00:00+00:00,4537.76295,4537.91821,4537.70836,4537.86117,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:05:00+00:00,4537.76178,4537.96137,4537.68919,4537.85679,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:10:00+00:00,4537.75511,4537.93621,4537.72966,4537.72966,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:15:00+00:00,4537.75979,4537.95893,4537.69834,4537.81482,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:20:00+00:00,4537.76074,4537.90123,4537.70523,4537.8531,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:25:00+00:00,4537.75636,4537.95356,4537.67852,4537.8547,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:30:00+00:00,4537.74713,4537.92035,4537.72563,4537.72563,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:35:00+00:00,4537.75327,4537.9505,4537.69062,4537.81714,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:40:00+00:00,4537.74593,4537.89134,4537.71281,4537.85086,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:45:00+00:00,4537.7563,4537.96426,4537.69368,4537.86773,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:50:00+00:00,4537.75926,4537.93206,4537.7399,4537.7399,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 07:55:00+00:00,4537.76678,4537.968,4537.70104,4537.82996,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 08:00:00+00:00,4537.76491,4537.89531,4537.73232,4537.86091,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 08:05:00+00:00,4537.7686,4537.96627,4537.69321,4537.75685,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 08:10:00+00:00,4537.75933,4537.91682,4537.73885,4537.73885,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
XAUUSD,M5,2026-05-16 08:15:00+00:00,4537.76233,4537.95951,4537.69535,4537.82925,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T08:27:11Z
