instrument,timeframe,bar_open_ts_utc,open,high,low,close,volume,source,source_file,imported_utc
USDJPY,M5,2026-05-19 08:50:00+00:00,159.08539,159.11413,159.0768,159.11017,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 08:55:00+00:00,159.10467,159.1408,159.10154,159.1385,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:00:00+00:00,159.13214,159.15335,159.12779,159.13806,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:05:00+00:00,159.13926,159.14896,159.13421,159.13906,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:10:00+00:00,159.13943,159.1704,159.11614,159.16594,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:15:00+00:00,159.15978,159.17797,159.15693,159.17369,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:20:00+00:00,159.172,159.172,159.1136,159.11651,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:25:00+00:00,159.11877,159.13219,159.11576,159.12847,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:30:00+00:00,159.12162,159.15692,159.12162,159.14693,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:35:00+00:00,159.14897,159.1544,159.13146,159.15046,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:40:00+00:00,159.1451,159.1451,159.11981,159.12198,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:45:00+00:00,159.12282,159.13844,159.11183,159.1288,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:50:00+00:00,159.12645,159.12912,159.12091,159.12114,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 09:55:00+00:00,159.12119,159.12766,159.07504,159.07907,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:00:00+00:00,159.08298,159.10952,159.08298,159.09902,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:05:00+00:00,159.09602,159.10053,159.07865,159.07985,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:10:00+00:00,159.08225,159.08434,159.07619,159.07967,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:15:00+00:00,159.07851,159.09671,159.07302,159.09239,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:20:00+00:00,159.08976,159.09158,159.0695,159.07196,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:25:00+00:00,159.07405,159.08635,159.06355,159.07622,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:30:00+00:00,159.07798,159.09997,159.07798,159.08926,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:35:00+00:00,159.09164,159.13181,159.09,159.12977,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:40:00+00:00,159.12412,159.16746,159.11773,159.16153,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:45:00+00:00,159.14425,159.17946,159.13856,159.1407,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:50:00+00:00,159.14513,159.15499,159.12671,159.14445,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 10:55:00+00:00,159.13755,159.15509,159.10327,159.11164,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:00:00+00:00,159.10896,159.11812,159.08519,159.11579,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:05:00+00:00,159.10733,159.14058,159.10733,159.13578,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:10:00+00:00,159.13425,159.13621,159.11116,159.11195,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:15:00+00:00,159.11462,159.1381,159.10672,159.1231,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:20:00+00:00,159.11798,159.12339,159.10149,159.11774,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:25:00+00:00,159.11325,159.13668,159.11325,159.12817,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:30:00+00:00,159.12863,159.13351,159.10859,159.11939,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:35:00+00:00,159.11508,159.12127,159.10593,159.11311,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:40:00+00:00,159.10894,159.11866,159.10667,159.11368,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:45:00+00:00,159.11109,159.12544,159.11038,159.11338,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:50:00+00:00,159.11351,159.12162,159.10301,159.11801,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 11:55:00+00:00,159.11733,159.13381,159.10611,159.13219,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 12:00:00+00:00,159.12423,159.14093,159.11456,159.1238,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 12:05:00+00:00,159.12156,159.12586,159.10641,159.10775,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 12:10:00+00:00,159.11192,159.12257,159.10474,159.11185,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 12:15:00+00:00,159.11059,159.12701,159.10405,159.12328,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 12:20:00+00:00,159.11934,159.13096,159.11532,159.13038,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 12:25:00+00:00,159.12931,159.12931,159.1057,159.10772,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 12:30:00+00:00,159.10858,159.12082,159.10065,159.11695,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
USDJPY,M5,2026-05-19 12:35:00+00:00,159.11008,159.12253,159.10611,159.11644,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T12:47:06Z
